driverStandingsId,driverId,points,position,wins
13661,11,0.0,15,0
13660,22,0.0,14,0
13659,5,1.0,10,0
13658,15,4.0,7,0
13657,23,1.0,11,0
13656,3,2.0,9,0
13655,13,17.0,4,1
13654,21,8.0,6,0
13653,2,15.0,5,0
13652,1,22.0,3,0
13651,4,22.0,1,1
13650,8,22.0,2,1
13692,14,4.0,9,0
13691,27,0.0,20,0
13690,9,8.0,6,0
13689,26,0.0,22,0
13688,25,0.0,14,0
13687,16,0.0,19,0
13686,19,0.0,17,0
13685,18,0.0,18,0
13684,24,0.0,21,0
13683,17,0.0,16,0
13682,11,1.0,12,0
13681,22,0.0,15,0
13680,5,3.0,11,0
13679,15,4.0,10,0
13678,23,1.0,13,0
13677,3,5.0,8,0
13675,21,8.0,7,0
13714,14,4.0,9,0
13713,27,0.0,21,0
13712,9,12.0,7,0
13711,26,0.0,15,0
13710,25,2.0,12,0
13709,16,0.0,20,0
13708,19,0.0,19,0
13707,18,0.0,18,0
13706,24,0.0,22,0
13705,17,0.0,17,0
13704,11,1.0,13,0
13703,22,0.0,16,0
13702,5,3.0,11,0
13701,15,4.0,10,0
13700,23,1.0,14,0
13699,3,5.0,8,0
13697,21,13.0,6,0
13736,14,4.0,11,0
13735,27,0.0,21,0
13734,9,12.0,7,0
13733,26,0.0,16,0
13732,25,8.0,8,0
13731,16,0.0,20,0
13730,19,0.0,18,0
13729,18,0.0,19,0
13728,24,0.0,22,0
13726,11,4.0,12,0
13724,5,8.0,9,0
13722,23,2.0,14,0
13721,3,5.0,10,0
13720,13,33.0,3,2
13718,2,26.0,5,0
13716,4,40.0,2,2
13759,20,1.0,16,0
13758,14,4.0,12,0
13757,27,0.0,22,0
13756,9,12.0,7,0
13755,26,0.0,17,0
13754,25,8.0,9,0
13753,16,0.0,21,0
13752,19,0.0,19,0
13751,18,0.0,20,0
13750,24,0.0,23,0
13748,11,4.0,13,0
13746,5,12.0,8,0
13744,23,2.0,15,0
13743,3,5.0,11,0
13742,13,39.0,3,2
13740,2,26.0,5,0
13738,4,48.0,2,2
13782,20,1.0,17,0
13781,14,4.0,12,0
13780,27,0.0,22,0
13779,9,17.0,6,0
13778,26,0.0,18,0
13777,25,8.0,9,0
13776,16,0.0,21,0
13775,19,0.0,20,0
13774,18,1.0,16,0
13773,24,0.0,23,0
13772,17,2.0,14,0
13771,11,4.0,13,0
13769,5,12.0,8,0
13767,23,2.0,15,0
13766,3,5.0,11,0
13765,13,47.0,3,2
13763,2,30.0,5,0
13761,4,50.0,2,2
13805,20,1.0,17,0
13804,14,4.0,12,0
13803,27,0.0,22,0
13802,9,22.0,6,0
13801,26,0.0,19,0
13800,25,8.0,9,0
13799,16,0.0,21,0
13798,19,0.0,20,0
13797,18,1.0,16,0
13796,24,0.0,23,0
13795,17,2.0,14,0
13794,11,4.0,13,0
13792,5,14.0,8,0
13790,23,2.0,15,0
13789,3,5.0,11,0
13787,21,17.0,7,0
13784,4,58.0,2,2
13828,20,1.0,17,0
13827,14,8.0,11,0
13826,27,0.0,22,0
13825,9,24.0,6,0
13824,26,0.0,19,0
13823,25,13.0,9,0
13822,16,0.0,21,0
13821,19,0.0,20,0
13820,18,1.0,16,0
13819,24,0.0,23,0
13818,17,8.0,10,0
13817,11,4.0,14,0
13816,22,0.0,18,0
13815,5,15.0,8,0
13814,15,7.0,12,0
13813,23,2.0,15,0
13811,13,59.0,3,2
13809,2,36.0,5,0
13832,2,42.0,5,0
13851,20,1.0,17,0
13850,14,8.0,11,0
13849,27,0.0,22,0
13848,9,28.0,6,0
13847,26,0.0,19,0
13846,25,13.0,9,0
13845,16,0.0,21,0
13844,19,0.0,20,0
13843,18,1.0,16,0
13842,24,0.0,23,0
13841,17,8.0,10,0
13840,11,4.0,15,0
13838,5,16.0,8,0
13837,15,7.0,13,0
13836,23,5.0,14,0
13835,3,7.0,12,0
13833,21,17.0,7,0
13830,4,73.0,2,3
13856,21,17.0,8,0
13875,29,0.0,24,0
13874,20,1.0,17,0
13873,14,8.0,12,0
13872,27,0.0,22,0
13871,9,29.0,6,0
13870,26,0.0,19,0
13869,25,13.0,9,0
13868,16,0.0,21,0
13867,19,0.0,20,0
13866,18,1.0,16,0
13865,24,0.0,23,0
13864,17,8.0,11,0
13863,11,4.0,15,0
13862,22,0.0,18,0
13861,5,19.0,7,0
13858,3,9.0,10,0
13857,13,69.0,3,3
13855,2,47.0,5,0
13853,4,79.0,2,3
13879,2,52.0,5,0
13899,29,0.0,24,0
13898,20,1.0,17,0
13897,14,8.0,12,0
13896,27,0.0,22,0
13895,9,33.0,6,0
13894,26,0.0,19,0
13893,25,13.0,9,0
13892,16,0.0,21,0
13891,19,0.0,20,0
13890,18,2.0,16,0
13889,24,0.0,23,0
13888,17,8.0,11,0
13887,11,4.0,15,0
13886,22,0.0,18,0
13885,5,21.0,7,0
13884,15,7.0,13,0
13881,13,69.0,4,3
13880,21,17.0,8,0
13877,4,89.0,2,4
13903,2,56.0,5,0
13923,29,0.0,24,0
13922,20,1.0,17,0
13921,14,8.0,12,0
13920,27,0.0,23,0
13919,9,33.0,6,0
13918,26,0.0,19,0
13917,25,13.0,10,0
13916,16,0.0,22,0
